model,metric,ours_beat_base,paper,delta
DLCM base (ours),ndcg@1,0.10666666666666667,0.158,-0.05133333333333333
DLCM base (ours),ndcg@5,0.2218820859155622,0.271,-0.04911791408443783
DLCM base (ours),ndcg@10,0.28531620330300816,0.315,-0.02968379669699184
DLCM base (ours),map@1,0.10666666666666667,0.158,-0.05133333333333333
DLCM base (ours),map@5,0.18386111111111111,0.235,-0.05113888888888889
DLCM base (ours),map@10,0.2099675925925926,0.253,-0.04303240740740741
UR4Rec (ours),ndcg@1,0.12166666666666667,0.484,-0.36233333333333334
UR4Rec (ours),ndcg@5,0.2334212987928459,0.631,-0.3975787012071541
UR4Rec (ours),ndcg@10,0.2995805432993505,0.661,-0.3614194567006495
UR4Rec (ours),map@1,0.12166666666666667,0.484,-0.36233333333333334
UR4Rec (ours),map@5,0.19791666666666666,0.588,-0.39008333333333334
UR4Rec (ours),map@10,0.22482076719576718,0.601,-0.3761792328042328
